Name,Role,Company,Category,Twitter,LinkedIn,Background,Consumer_Appeal_Score,Technical_Depth_Score,Overall_Score,Story_Potential,Recent_Activity,Outreach_Notes
Francesco Agosti,CTO & Co-founder,Phantom,Wallets/Consumer,@fragosti,linkedin.com/in/fragosti,"Ex-0x engineer. Built world's most popular crypto wallet with 15M+ MAU. $3B valuation.",10,9,9.5,"Built consumer-friendly crypto experience from scratch. Ex-0x founding team.",CASH stablecoin launch Oct 2025; Crypto ISAC charter member,"High priority - Phantom is THE consumer wallet success story. Great technical depth."
Armani Ferrante,Founder & CEO,Backpack/Coral,Wallets/Consumer,@armaniferrante,crunchbase.com/person/armani-ferrante-8ca6,"Creator of Anchor framework. Ex-Alameda hire. Built xNFT standard. Founded Backpack Exchange.",9,10,9.5,"Survived FTX collapse in 'cockroach mode'. Built Anchor powering most Solana apps.",Backpack Exchange crossed $1B volume in 4 days; Mad Lads NFT success,"EXCEPTIONAL - Technical godfather of Solana ecosystem. Incredible resilience story."
Vidor Gencel,Founder & CEO,Solflare,Wallets/Consumer,N/A,linkedin.com/in/vidor-gencel,"Started coding at 12. Discovered BTC in 2010. Built first Solana wallet. Based in Belgrade.",8,8,8,"OG Solana builder. Hacker origin story. Self-custody advocate.",Solflare Shield hardware wallet launch Dec 2025,"Good target - First Solana wallet. Strong self-custody narrative."
Dan Liu,CEO,Glow Wallet (Luma Labs),Wallets/Consumer,N/A,danliu.xyz,"Designer and engineer. Cofounder of Luma. Focus on UI/UX excellence.",7,7,7,"Focus on hiding complexity. Zero-fee swaps. Elegant design philosophy.",Mobile app improvements ongoing,"Mid-tier priority - Strong UX focus but less ecosystem prominence."
Sidney Zhang,CTO & Co-founder,Magic Eden,NFTs/Gaming,N/A,N/A,"Ex-UberEats engineer. Built consumer marketplace experience into NFT trading. Equal equity split with co-founders.",10,9,9.5,"From UberEats to #1 NFT marketplace. Crypto exchange + consumer marketplace hybrid.",ME token launch; Multi-chain expansion,"High priority - Consumer marketplace DNA. Built $1.6B valuation company."
Richard Wu,CTO & Co-founder,Tensor,NFTs/Gaming,@0xrwu,linkedin.com/in/rwu1997,"Ex-Two Sigma AI. Ex-Citadel quant. Ex-Google. Ex-Cockroach Labs. U of Waterloo grad. Toronto-based.",9,10,9.5,"From Wall Street quant to fastest NFT exchange. Open-sourced all 5 protocols.",Open-sourced protocols at Breakpoint 2024; Vector.fun memecoin app launch Jan 2025,"EXCEPTIONAL - Elite technical background. Building in Toronto. Great story."
Ilja Moisejevs,CEO & Co-founder,Tensor,NFTs/Gaming,@_ilmoi (now @ilmoi),linkedin.com/in/ilmoi,"Ex-CalypsoAI founding engineer. Now at Coinbase. Toronto-based.",9,9,9,"Built #1 Solana NFT marketplace from scratch.",Left for Coinbase but still involved with Tensor,"Consider Richard Wu as primary contact - more active with Tensor."
Stephen Hess,CEO & Founder,Metaplex,NFTs/Gaming,@meta_hess,linkedin.com/in/stephennhess,"Ex-Solana Labs Head of Product. Built Solana NFT standard. Director of Metaplex Foundation.",9,9,9,"From Solana Labs to defining NFT infrastructure. Compressed NFTs pioneer.",Core standard launch; Compressed NFTs adoption,"High priority - Infrastructure backbone for all Solana NFTs."
Michael Wagner,CEO & Co-founder,Star Atlas,NFTs/Gaming,N/A,N/A,"Building UE5 MMORPG on Solana. Multi-game ecosystem approach. Philippines expansion.",8,8,8,"Ambitious AAA gaming vision on blockchain. Grand strategy metaverse.",Impact Summit 2024 updates; Multi-game ecosystem development,"Good gaming narrative - Long development but impressive scope."
Frank (Rohun Vora),Founder,DeGods/y00ts (DeLabs),NFTs/Gaming,@frankdegods,N/A,"Ex-UCLA film student. Created top Solana NFT projects. Controversial chain migrations.",8,7,7.5,"Dramatic founder journey. Chain migrations controversy. DEGOD token launch.",Bridged back to Solana May 2024; DEGOD token Sept 2024,"Controversial but compelling story. Very honest about mistakes."
Emmett Hollyer,General Manager,Solana Mobile,Mobile,N/A,N/A,"Leading Saga/Seeker phone development. Working with Anatoly on mobile strategy.",9,8,8.5,"Building crypto's iPhone moment. 150K Seeker phones shipped to 50+ countries.",Seeker phone launch Aug 2025; SeekerID and SeedVault features,"Strong mobile story - Hardware + crypto convergence."
Shaw,Founder,ai16z/Eliza Labs,AI/Emerging,N/A,N/A,"Creator of Eliza framework. Built AI DAO that hit $2.5B valuation. GitHub trending globally.",10,9,9.5,"From zero to $2.5B AI DAO in months. Open-source AGI vision. Rebranded to ElizaOS.",ElizaOS rebrand Jan 2025; Eliza v2 development,"HOT - AI agents narrative. Fastest-growing AI x Crypto project."
Tory Green,CEO (prev COO),io.net,AI/Emerging,N/A,N/A,"Took over from Ahmad Shadid June 2024. Leading world's largest GPU DePIN.",9,8,8.5,"World's largest decentralized GPU network. $30M+ raised.",IO token launch June 2024; Continued growth post-leadership change,"Good DePIN + AI story. Leadership transition narrative."
Jesse Eisses,Co-founder,Nosana,AI/Emerging,N/A,linkedin.com/in/jesse-eisses,"Ex-Intel ML platform architect. PhD. Deep GPU computing expertise.",8,10,9,"Decentralized AI compute solving real infrastructure problems.",GPU Marketplace launch Jan 2025; Mainnet Jan 2025,"Strong technical founder. Academic + industry credibility."
Andrej Radonjic,Founder & CEO,Grass Network (Wynd Labs),AI/Emerging,N/A,N/A,"MSc Mathematics from York University. Engineering Physics from McMaster. 2M+ users.",9,8,8.5,"Viral data scraping network for AI training. 2M+ users. Custom rollup solution.",Raised $10M Oct 2025; Expanding decentralized internet infrastructure,"Compelling story - Turning idle bandwidth into AI training data."
Amir Haleem,Founder & CEO,Helium/Nova Labs,DePIN,N/A,N/A,"Pioneer of decentralized wireless. Co-founder of Diversion (CTO). Gaming industry background.",10,9,9.5,"Built 1M+ hotspot network. Successfully migrated to Solana. Helium Mobile launch.",Helium Mobile growth; Continued Solana integration,"Major DePIN success story. Real-world adoption at scale."
Ariel Seidman,CEO & Co-founder,Hivemapper,DePIN,N/A,blockworks.co/speaker/ariel-seidman,"Ex-Yahoo Maps leader. Gigwalk co-founder. Two-time entrepreneur. Deep mapping expertise.",9,8,8.5,"Challenging Google Maps with crowdsourced dashcams. 5M+ km mapped.",Continued global expansion; Strong Breakpoint 2024 presence,"Great founder story - Taking on Google with Web3 incentives."
Evan Moss,CTO & Co-founder,Hivemapper,DePIN,N/A,N/A,"Technical co-founder building mapping infrastructure.",8,9,8.5,"Building AI-powered mapping from dashcam data.",Technical infrastructure development,"Consider Ariel as primary - more public-facing."
Frank Mathis,Founder & CEO,GenesysGo (Shadow Drive),DePIN,N/A,N/A,"Ex-financial planner turned Solana infrastructure builder. Building decentralized storage.",8,9,8.5,"Shadow Drive V2 - decentralized storage competing with AWS.",Shadow Drive V2 launch; Crossroads conference announcements,"Infrastructure play - Less consumer-facing but critical.",
Jules Urbach,Founder & CEO,Render Network (OTOY),DePIN,N/A,N/A,"Pioneer in computer graphics since before NVIDIA partnership 2013. Conceived Render 2009.",9,10,9.5,"Metaverse rendering infrastructure. GPU economy pioneer. Jensen Huang stage partner.",Solana migration complete; RenderCon 2025 with Raj Gokal,"Legendary technical founder. Graphics industry icon."
Hardhat Chad (pseudonymous),Founder,Ore/Regolith Labs,Small Teams/Emerging,@HardhatChad,mysupercooltoken.com,"Created PoW mining on Solana. Won $50K Colosseum hackathon. Raised $3M from Foundation Capital.",8,9,8.5,"'Broke Solana' with mining protocol. Fair launch advocate. Bitcoin on Solana vision.",Ore V2 launch; $3M seed round Sept 2024; Staking mechanics,"Fascinating story - Pseudonymous builder who crashed Solana then won hackathon."
Meow (pseudonymous),Co-founder,Jupiter,Small Teams/Emerging,@weremeow,N/A,"Built 80%+ of Solana DEX routing. Pseudonymous. Community-first philosophy.",10,9,9.5,"From DEX aggregator to DeFi superapp. Acquired Moonshot and SonarWatch.",Catstanbul conference Jan 2025; Major acquisitions; $140M team allocation vote,"MAJOR - Powers most of Solana DeFi. Incredible growth story."
Siong Ong / Ben Chow,Co-founder,Jupiter,Small Teams/Emerging,N/A,N/A,"Technical co-founder working alongside Meow.",9,9,9,"Built Jupiter's routing engine.",Continued development,"Meow is primary spokesperson."
Alon Cohen (pseudonymous),Co-founder,Pump.fun,Small Teams/Emerging,N/A,N/A,"Co-founded viral memecoin factory. $317M+ revenue in 2024. Pseudonymous team.",10,8,9,"Built fastest-growing crypto app. 6M+ memecoins launched. 60%+ of Solana DEX volume.",PUMP token announcement July 2025; Continued dominance,"VIRAL - Defined 2024 memecoin culture. Massive impact."
FP Lee,Co-founder,Sanctum,Small Teams/Emerging,@soleconomist,N/A,"Deep Solana ecosystem experience. Created fpSOL personal LST. Singapore-based.",8,9,8.5,"Infinite LST vision. Creator coins experiment. Building SOL economy.",Personal LSTs launch Dec 2024; Sanctum Profiles V2; Sanctum Pay roadmap,"Innovative liquid staking. Strong technical vision."
Lucas Bruder,CEO & Co-founder,Jito Labs,Small Teams/Emerging,@Buffalu,N/A,"Built MEV infrastructure running on 27%+ of Solana stake. High-performance systems.",9,10,9.5,"JitoSOL massive airdrop. Block Assembly Marketplace. Core Solana infrastructure.",BAM (Block Assembly Marketplace) announcements; Continued stake growth,"Critical infrastructure. Major validator influence."
Zano Sherwani,CTO & Co-founder,Jito Labs,Small Teams/Emerging,N/A,N/A,"Technical co-founder. Built Stake Net protocol.",8,10,9,"High-performance MEV systems.",Stake Net development,"Lucas is primary spokesperson."
Cindy Leow,CEO & Co-founder,Drift Protocol,Small Teams/Emerging,N/A,N/A,"Female-led DeFi. $25M Series B. Goal: 'Robinhood of crypto'. Doubling team to 50.",9,9,9,"Survived Solana DeFi crash. Now largest perps DEX. 50x leverage. Prediction markets.",Series B Sept 2024; Web3 SuperApp vision; Swift Protocol launch,"Strong founder story - Female-led success in DeFi."
Marius Ciubotariu,Co-founder,Kamino Finance,Small Teams/Emerging,N/A,N/A,"Ex-exotic derivatives pricing (C++). Discovered Solana via Rust hackathon. Built from $10M to largest lending protocol.",9,10,9.5,"From $10M TVL to Solana's largest DEX. Fixed-rate lending with FalconX. Swap feature launch.",Six major product launches 2024; Breakpoint 2024 keynote; FalconX institutional partnership,"Technical excellence - Derivatives background applied to DeFi."
